time,latitude,longitude,depth,mag,place
1987-08-15,-28.135,-70.884,37.4,6.5,"Atacama, Chile"
1987-09-01,-23.052,-66.529,199.0,6.7,"Jujuy, Argentina"
1987-09-13,-34.333,-69.971,10.0,6.0,"Mendoza, Argentina"
1987-10-27,-28.676,-62.929,604.5,6.4,"Santiago Del Estero, Argentina"
1987-11-06,-22.801,-63.583,538.1,6.0,"Salta, Argentina"
1988-01-19,-24.710,-70.568,33.0,7.0,"Antofagasta, Chile"
1988-02-05,-24.753,-70.433,36.9,7.2,"Antofagasta, Chile"
1988-02-05,-24.893,-70.554,30.7,6.5,"near the coast of Antofagasta, Chile"
1988-02-06,-17.756,-66.958,285.2,6.5,"Oruro, Bolivia"
1988-02-22,-20.833,-69.785,70.3,6.7,"Tarapaca, Chile"
1988-03-09,-17.327,-74.154,32.3,6.0,off the coast of southern Peru
1988-03-30,-24.926,-70.461,40.9,6.2,"Antofagasta, Chile"
1988-04-12,-17.192,-72.305,33.1,7.1,near the coast of southern Peru
1988-04-13,-17.256,-72.518,16.1,6.2,near the coast of southern Peru
1988-05-21,-32.833,-71.704,42.1,6.1,"offshore Valparaiso, Chile"
1988-07-28,-22.062,-65.716,279.3,6.2,"Potosi, Bolivia"
1988-08-14,-27.260,-71.092,32.5,6.7,"offshore Atacama, Chile"
1988-08-17,-27.001,-70.948,38.5,6.1,"offshore Atacama, Chile"
1988-09-14,-23.424,-67.997,122.6,6.0,"Antofagasta, Chile"
1988-12-24,-23.522,-66.666,193.6,6.1,"Jujuy, Argentina"
1989-02-28,-23.113,-61.465,569.0,6.5,Argentina-Paraguay border region
1989-04-05,-20.857,-69.028,112.0,6.2,"Tarapaca, Chile"
1989-11-01,-20.995,-67.954,139.5,6.1,"Potosi, Bolivia"
1989-11-29,-15.808,-73.242,70.8,6.3,southern Peru
1990-04-21,-36.985,-73.303,11.9,6.3,"offshore Bio-Bio, Chile"
1990-05-14,-35.925,-71.415,75.9,6.2,"Maule, Chile"
1990-08-02,-31.620,-71.695,35.8,6.0,"offshore Coquimbo, Chile"
1990-10-10,-19.503,-66.618,266.0,6.6,"Potosi, Bolivia"
1991-04-05,-14.230,-75.511,50.0,6.3,near the coast of central Peru
1991-05-24,-16.506,-70.701,127.7,6.8,southern Peru
1991-06-23,-26.802,-63.349,558.0,7.3,"Santiago Del Estero, Argentina"
1991-07-01,-15.797,-75.016,21.4,6.0,near the coast of central Peru
1991-07-06,-13.108,-72.187,104.5,7.0,central Peru
1992-05-16,-13.672,-76.108,56.9,6.1,near the coast of central Peru
1992-05-18,-33.594,-72.018,29.5,6.1,"offshore Valparaiso, Chile"
1992-11-04,-31.565,-71.565,18.8,6.0,"Coquimbo, Chile"
1992-11-28,-31.330,-71.992,11.7,6.5,"offshore Coquimbo, Chile"
1993-01-05,-26.700,-70.920,29.0,6.4,"offshore Atacama, Chile"
1993-03-15,-26.708,-70.918,28.9,6.7,"offshore Atacama, Chile"
1993-03-19,-26.742,-70.966,29.3,6.0,"offshore Atacama, Chile"
1993-05-24,-23.238,-66.631,221.0,6.2,"Jujuy, Argentina"
1993-05-24,-22.671,-66.543,221.0,7.0,"Jujuy, Argentina"
1993-06-08,-31.560,-69.234,112.7,6.3,"San Juan, Argentina"
1993-07-11,-25.304,-70.166,47.5,6.6,"Antofagasta, Chile"
1993-10-19,-22.378,-65.971,272.0,6.0,"Jujuy, Argentina"
1994-01-10,-13.339,-69.446,596.0,6.9,southern Peru
1994-04-29,-28.299,-63.252,561.5,6.9,"Santiago Del Estero, Argentina"
1994-05-10,-28.501,-63.096,600.5,6.9,"Santiago Del Estero, Argentina"
